observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
140,GLOBAL_CFVF,7d1070824015c8f3bb0aeeedc13bbeb2bb3efc02a9c6937bfbc06418ded29262,1006.959647819717,134804.0182651666,416568.5674165967,-1
141,GLOBAL_CFVF,76db108a6322573fee92301b56ac00f2116b17bc29fd8adb6433e0c1adaa5d6c,1189.356883743987,132962.2283569556,441629.09375606896,-1
142,GLOBAL_CFVF,554d6215986128d02401789fecb8ce5f62c60b30aed24439bd8970c2fd2b257f,1132.3262991095446,133215.04031019702,431793.6839108798,-1
143,GLOBAL_CFVF,88822f7b033724dcbed347b8faafb4c35c6a206209b667c649f3083af95f68b6,1140.8105929578987,132513.69009830852,460937.89267448115,-1
144,GLOBAL_CFVF,a345ff4a4533719095a5813504a9c5f705753ee331145fd8bc45abb643dabcc2,1070.7833788868197,133556.40235536319,435896.63724304095,-1
145,GLOBAL_CFVF,631687fa829a28c93e7035709b0a88224eb4e1f49e94757a546026d6e49ff63d,1086.9733494342859,133003.9575447852,454109.06097880326,-1
146,GLOBAL_CFVF,717b79961f343197785498583306b6c6e2928d43270fa10d43d4d1b39a0de016,1157.6454743994998,134151.63888223591,431118.3171834494,-1
147,GLOBAL_CFVF,b658fd5e47186eec780a44e12ed4571a587bc5160be1056c5333132cde312079,1076.4967792429602,133406.875333516,447353.65458463144,-1
148,GLOBAL_CFVF,e9dd63e4fda06222bc645e049201f70b5b206b90757286be73daef287f998183,1033.6847859190814,135036.32733730896,455973.3328087481,-1
149,GLOBAL_CFVF,6f1479d7134cee4fbc751b46e317dc4d0e51c6cc1b69636297eab7736483aa9e,1200.344687336971,130568.75918523548,453860.11657875695,-1
150,GLOBAL_CFVF,2f6a19c297b9d545b321fa3df1f3765170ed9fd32e8a7c5cb4c8f428c46adce6,986.2590982983669,135302.94274819284,450035.19874814886,-1
151,GLOBAL_CFVF,72bbfc5c93eae17c6a460c35ebf39c53ae25c3ff2a28db1df3ef88a5e5e74874,1169.238145550328,135364.43003348538,452388.95777760533,-1
152,GLOBAL_CFVF,839a5ec71248843c55012a72c4030362f5fb0b6097fd1f9e6aaede772aa0be6d,1534.2920586598057,134360.10626512414,491016.9906834492,-1
153,GLOBAL_CFVF,164f890ba7e42688ba62d6bd47f6940b73e5852aa57ce9d7957e22cec72028ac,1092.5252734319936,133956.92927246733,456524.50457525544,-1
154,GLOBAL_CFVF,006e3834a136a494e5293dc7ad1f9050dd325ba1f82de94b3cd0f25ec55a3a47,918.9395328812749,133484.1781706814,424289.10357563104,-1
155,GLOBAL_CFVF,54842b1cea04d532edd5098498e8d404de749cd3640bc83e1f33111418bca677,1003.7456258642861,133179.53072216417,423960.31205552863,-1
156,GLOBAL_CFVF,81d24fd0149006caee49e4d0c9d5075fcd05d2d291cff2b8f9d55272afde2c02,970.5960214733889,135321.51327365165,436502.3673072147,-1
157,GLOBAL_CFVF,6cdf0c77a51640e05d7044b1011bccfb7d9d9c834ae327ff0469c68bfb8df855,983.6921812061225,132232.4680388834,419820.3993124487,-1
158,GLOBAL_CFVF,25fb71031e9fafdf9ca49f8cadd63d39f161c3602d36ecbccedd6e689f9bfffd,1011.2265685752975,133127.36995765124,430316.00482699304,-1
159,GLOBAL_CFVF,a21e34ab017bf11c8a0134f7250e76d6aad87423c10aab3cd54aff130a4c4fb3,1022.037039232705,135121.62728241945,389885.1897459632,-1
160,GLOBAL_CFVF,64dcea54e9e75cc2184c3bba92df5405c68c2fb05b3ff33cbba3a56bfa83a038,1036.9055761465083,132989.68450431852,451500.8203258995,-1
161,GLOBAL_CFVF,b0c7cb149bf29560e9eb1c73534ccd09990bfb54ca77d68ea677513ac7864481,1008.2042376545261,132732.2382271955,458338.46136228665,-1
162,GLOBAL_CFVF,c777e30de50ac63f1717db920b724b31279775e362cae5e5f1f8f40bb271640c,1367.802233987141,130319.40690979807,442768.95474700665,-1
163,GLOBAL_CFVF,c38ea5f932cfb5c19eb0596999f2a0cc45bcdf20f3e79fa3a563f753b3bb5ef4,1188.2565274318215,127812.81535121112,404887.1670236625,-1
